gene_name,PageRank0h,PageRank16h,Ratio
MRPS6,5.84E-05,6.44E-05,1.10
CHPF,2.83E-05,3.12E-05,1.10
MIER3,2.95E-05,3.26E-05,1.10
HK2,0.000109226,0.000120424,1.10
EEA1,0.00010996,0.00012121,1.10
UEVLD,2.26E-05,2.49E-05,1.10
CIRH1A,0.000107901,0.000118901,1.10
TTC17,3.23E-05,3.56E-05,1.10
CSDE1,0.00013998,0.000154187,1.10
TNFRSF18,1.77E-05,1.95E-05,1.10
TMEM167B,2.33E-05,2.57E-05,1.10
NAA50,9.44E-05,0.000103942,1.10
SHMT1,0.000127271,0.000140111,1.10
RBM19,9.69E-05,0.000106624,1.10
NOP14,7.51E-05,8.27E-05,1.10
HPDL,5.00E-05,5.50E-05,1.10
DGKD,3.00E-05,3.29E-05,1.10
DDX27,0.00018459,0.000202925,1.10
FTSJ3,0.000288286,0.000316845,1.10
PANK3,1.72E-05,1.89E-05,1.10
KDM5D,2.42E-05,2.66E-05,1.10
DDX10,9.12E-05,0.000100208,1.10
CYP20A1,3.04E-05,3.34E-05,1.10
RPL7A,0.000388521,0.000426754,1.10
HIRIP3,9.62E-05,0.000105674,1.10
HSPA2,0.00027301,0.000299849,1.10
RNF145,1.72E-05,1.89E-05,1.10
NIP7,9.26E-05,0.000101669,1.10
FEM1C,3.36E-05,3.69E-05,1.10
POMP,9.02E-05,9.90E-05,1.10
NOMO1,7.12E-05,7.81E-05,1.10
TDG,7.02E-05,7.70E-05,1.10
TXNDC9,0.000137957,0.000151369,1.10
PAPD4,2.64E-05,2.89E-05,1.10
MTDH,6.59E-05,7.23E-05,1.10
LIAS,5.45E-05,5.98E-05,1.10
NOL11,7.31E-05,8.01E-05,1.10
GNL3L,0.000142017,0.000155721,1.10
RPL35A,0.000254887,0.00027948,1.10
DNAJC2,6.51E-05,7.13E-05,1.10
RPF2,0.000135534,0.000148563,1.10
ALKBH8,8.58E-06,9.40E-06,1.10
CCDC115,4.79E-05,5.25E-05,1.10
NOM1,4.49E-05,4.92E-05,1.10
ORMDL2,2.34E-05,2.56E-05,1.10
DNTTIP2,7.64E-05,8.37E-05,1.10
HIST2H2AB,0.000420592,0.000460676,1.10
DCAF13,8.06E-05,8.83E-05,1.10
RPS23,0.000316848,0.000346972,1.10
MRPL30,6.18E-05,6.77E-05,1.09
RPF1,5.85E-05,6.41E-05,1.09
UCP2,2.45E-05,2.69E-05,1.09
MARCKSL1,0.000109972,0.000120386,1.09
HEATR1,9.91E-05,0.000108484,1.09
AK4,3.40E-05,3.72E-05,1.09
HEMK1,2.30E-05,2.52E-05,1.09
HGH1,6.17E-05,6.75E-05,1.09
DDX18,0.00025248,0.00027624,1.09
GLTSCR2,0.000202188,0.000221174,1.09
YBX3,0.000248638,0.000271983,1.09
FAU,0.000171702,0.00018778,1.09
RPL37A,0.000431211,0.000471581,1.09
SMYD2,6.14E-05,6.72E-05,1.09
RPL17,0.000314175,0.000343508,1.09
TMEM33,7.67E-05,8.38E-05,1.09
ZCCHC7,6.21E-05,6.79E-05,1.09
FOXP4,5.29E-05,5.79E-05,1.09
KDM7A,1.47E-05,1.61E-05,1.09
LARP1B,5.59E-05,6.10E-05,1.09
SLC38A2,5.20E-05,5.67E-05,1.09
RPL28,0.000302872,0.000330707,1.09
TMA16,8.64E-05,9.43E-05,1.09
DIP2B,4.47E-05,4.88E-05,1.09
BCAT1,9.84E-05,0.00010743,1.09
P4HA1,8.26E-05,9.02E-05,1.09
KNOP1,0.000136047,0.000148465,1.09
NSUN5,5.57E-05,6.08E-05,1.09
NAA16,5.51E-05,6.01E-05,1.09
TBL3,0.000121262,0.000132306,1.09
BATF,4.04E-05,4.40E-05,1.09
RASGRF1,4.20E-05,4.58E-05,1.09
YTHDF2,0.000105493,0.000115088,1.09
HSPA13,4.66E-05,5.08E-05,1.09
UTP15,0.000101578,0.000110806,1.09
LY9,3.54E-05,3.86E-05,1.09
FAM207A,4.28E-05,4.67E-05,1.09
PSMB5,0.000250467,0.000273148,1.09
RPL35,0.000370782,0.000404326,1.09
CHKA,1.47E-05,1.60E-05,1.09
TMEM131,3.71E-05,4.04E-05,1.09
UBL5,5.89E-05,6.42E-05,1.09
SLC35A4,3.10E-05,3.38E-05,1.09
NFIL3,4.04E-05,4.40E-05,1.09
RPL21,0.00032221,0.000351089,1.09
PECR,2.45E-05,2.67E-05,1.09
CAPRIN1,0.000153265,0.000166992,1.09
ITPKC,1.74E-05,1.90E-05,1.09
WDR46,0.000184883,0.000201372,1.09
KLHL11,2.17E-05,2.37E-05,1.09
DNPH1,3.40E-05,3.70E-05,1.09
UQCC2,5.00E-05,5.44E-05,1.09
LLPH,3.80E-05,4.14E-05,1.09
ECE1,5.25E-05,5.71E-05,1.09
PRMT7,4.93E-05,5.37E-05,1.09
AGPAT5,3.62E-05,3.93E-05,1.09
EFCAB14,1.88E-05,2.04E-05,1.09
RNF139,5.61E-05,6.10E-05,1.09
LSM14B,4.20E-05,4.56E-05,1.09
HMGCR,0.000117824,0.000128036,1.09
ZC3H15,0.000111274,0.000120914,1.09
ARMC5,1.66E-05,1.80E-05,1.09
PDAP1,5.91E-05,6.43E-05,1.09
RPL8,0.000429974,0.000467153,1.09
PNO1,0.000136925,0.000148749,1.09
MRTO4,0.000167017,0.000181426,1.09
TIMM23,6.98E-05,7.59E-05,1.09
FBXL6,2.92E-05,3.17E-05,1.09
MTFR1,4.56E-05,4.95E-05,1.09
DIEXF,7.18E-05,7.79E-05,1.09
KRR1,0.000174544,0.000189545,1.09
RNF219,7.14E-05,7.75E-05,1.09
NUFIP2,9.96E-05,0.000108098,1.09
RIOK2,8.67E-05,9.41E-05,1.09
MKLN1,0.000124971,0.000135601,1.09
DHX37,6.20E-05,6.73E-05,1.08
WDR74,8.54E-05,9.27E-05,1.08
RPS25,0.000359149,0.000389485,1.08
SLC4A7,5.23E-05,5.67E-05,1.08
PHF6,0.000119575,0.000129577,1.08
PWP1,0.000117885,0.000127742,1.08
ANKRD52,6.68E-05,7.24E-05,1.08
PSAT1,0.00012376,0.000134096,1.08
MTHFD2L,2.69E-05,2.91E-05,1.08
HAT1,0.000104509,0.000113233,1.08
ORC6,6.98E-05,7.56E-05,1.08
SLC3A2,0.000157826,0.000170973,1.08
RPL14,0.000459139,0.000497351,1.08
RPL32,0.00026045,0.000282005,1.08
SURF6,9.22E-05,9.98E-05,1.08
WDR36,0.000162614,0.000176062,1.08
KBTBD8,3.40E-05,3.69E-05,1.08
DDX52,8.86E-05,9.59E-05,1.08
BRIX1,0.000231992,0.000251132,1.08
RPL27,0.000366941,0.000397199,1.08
FRMD4B,1.86E-05,2.02E-05,1.08
DDX56,0.000216182,0.000233955,1.08
RRP7A,0.00011546,0.000124932,1.08
MSTO1,3.96E-05,4.28E-05,1.08
ZNF800,3.87E-05,4.19E-05,1.08
GNL3,0.000207045,0.000223951,1.08
RPL27A,0.000315306,0.000341016,1.08
HMCES,3.48E-05,3.77E-05,1.08
NIFK,0.000326076,0.000352636,1.08
RRS1,0.00034033,0.000368051,1.08
LARP4B,6.73E-05,7.28E-05,1.08
PUS7,0.000123659,0.00013369,1.08
CTSZ,3.60E-05,3.89E-05,1.08
ATXN10,0.000109085,0.000117908,1.08
TFB2M,3.49E-05,3.77E-05,1.08
WBP5,2.51E-05,2.72E-05,1.08
NAF1,0.000129434,0.000139882,1.08
LONP2,4.66E-05,5.03E-05,1.08
RBM28,0.000144136,0.000155721,1.08
LRMP,2.84E-05,3.07E-05,1.08
COX7B,2.64E-05,2.85E-05,1.08
APEX2,3.69E-05,3.98E-05,1.08
JUND,9.77E-05,0.000105476,1.08
RPL38,0.00029043,0.000313473,1.08
GRAP,3.29E-05,3.55E-05,1.08
SLC1A5,0.000153429,0.000165556,1.08
PAPOLG,3.95E-05,4.26E-05,1.08
UNG,5.28E-05,5.70E-05,1.08
ACSL4,9.09E-05,9.80E-05,1.08
RRP1B,0.000162709,0.000175522,1.08
LDLR,5.53E-05,5.97E-05,1.08
RPL7L1,8.14E-05,8.78E-05,1.08
E2F5,4.80E-05,5.18E-05,1.08
SLBP,8.43E-05,9.09E-05,1.08
URB1,7.61E-05,8.20E-05,1.08
EBNA1BP2,0.000266305,0.000287138,1.08
TPST2,1.92E-05,2.07E-05,1.08
RPL19,0.000345775,0.000372776,1.08
FGF13,2.60E-05,2.81E-05,1.08
ABCF2,0.00015603,0.000168179,1.08
RPL31,0.000361576,0.000389722,1.08
HIST1H1A,0.000350338,0.000377572,1.08
NVL,8.52E-05,9.18E-05,1.08
HMGXB3,1.93E-05,2.08E-05,1.08
RPL23A,0.000421723,0.000454435,1.08
GTPBP4,0.000274489,0.000295716,1.08
RPS19BP1,7.52E-05,8.10E-05,1.08
RPS7,0.000416805,0.000448925,1.08
EEF1A2,0.000377307,0.000406375,1.08
EGR2,5.36E-05,5.77E-05,1.08
CNNM4,3.87E-05,4.16E-05,1.08
ATL1,2.65E-05,2.85E-05,1.08
MYBBP1A,0.000280657,0.000302136,1.08
ZNHIT3,5.41E-05,5.82E-05,1.08
FARP2,3.34E-05,3.59E-05,1.08
GZMB,5.29E-05,5.70E-05,1.08
FAM73B,2.98E-05,3.21E-05,1.08
H2AFZ,0.000444728,0.000478675,1.08
DHRS13,2.67E-05,2.87E-05,1.08
OTUD5,7.33E-05,7.88E-05,1.08
EIF1AD,4.44E-05,4.78E-05,1.08
NOP2,0.000294365,0.000316713,1.08
MAPRE2,0.000113225,0.000121792,1.08
ZNF609,4.42E-05,4.76E-05,1.08
TGS1,7.34E-05,7.89E-05,1.08
PRIM1,7.28E-05,7.83E-05,1.08
DNMT3A,0.000126558,0.000136094,1.08
USP36,0.000124639,0.00013401,1.08
ANKRD17,8.70E-05,9.36E-05,1.08
RPS6,0.000459076,0.000493561,1.08
TREX1,3.35E-05,3.60E-05,1.07
PYROXD1,4.14E-05,4.45E-05,1.07
IMP4,6.53E-05,7.02E-05,1.07
PLXND1,1.83E-05,1.96E-05,1.07
RPS11,0.000407654,0.000438175,1.07
F5,2.92E-05,3.13E-05,1.07
GFOD1,9.35E-05,0.000100455,1.07
CACUL1,2.73E-05,2.93E-05,1.07
ORMDL3,2.92E-05,3.14E-05,1.07
H1F0,0.000108066,0.000116097,1.07
LRRC42,3.96E-05,4.25E-05,1.07
SAMSN1,4.79E-05,5.15E-05,1.07
PMVK,7.67E-05,8.24E-05,1.07
TDRKH,1.94E-05,2.08E-05,1.07
NOC2L,0.00016479,0.000176888,1.07
REEP3,3.98E-05,4.27E-05,1.07
RRP9,8.60E-05,9.23E-05,1.07
CD28,3.87E-05,4.15E-05,1.07
GGA2,9.07E-05,9.73E-05,1.07
NFKBIB,7.38E-05,7.92E-05,1.07
UTP14A,0.000214095,0.000229716,1.07
RPL13,0.000481219,0.000516226,1.07
TACC2,5.35E-05,5.73E-05,1.07
CEBPZ,0.000141285,0.000151529,1.07
RPL22,0.000333469,0.000357599,1.07
SUCO,5.62E-05,6.03E-05,1.07
RPS15,0.000306874,0.000329064,1.07
PLEKHA3,1.78E-05,1.91E-05,1.07
RPL36,0.000291328,0.000312374,1.07
COX7A2L,4.72E-05,5.07E-05,1.07
ZDHHC5,3.42E-05,3.66E-05,1.07
SASH1,3.36E-05,3.60E-05,1.07
FOSL2,0.00014475,0.000155153,1.07
LRRC41,5.12E-05,5.49E-05,1.07
RPL6,0.000575615,0.0006166,1.07
YTHDF3,7.06E-05,7.56E-05,1.07
RPL7,0.000474106,0.000507671,1.07
MRPL20,9.62E-05,0.000102978,1.07
PRRC2C,9.59E-05,0.000102698,1.07
RPL3,0.00042481,0.000454718,1.07
POLR1B,0.000157763,0.000168865,1.07
PAM16,8.78E-05,9.40E-05,1.07
NGDN,6.51E-05,6.97E-05,1.07
SETD6,1.47E-05,1.57E-05,1.07
CDK5RAP1,4.78E-05,5.11E-05,1.07
ZFP62,3.55E-05,3.80E-05,1.07
YDJC,1.62E-05,1.73E-05,1.07
RBMXL1,7.79E-05,8.33E-05,1.07
TIPIN,7.05E-05,7.54E-05,1.07
IMPACT,4.34E-05,4.64E-05,1.07
DUSP11,0.000103145,0.000110272,1.07
TRMT13,2.12E-05,2.26E-05,1.07
JUNB,0.000130998,0.000140038,1.07
MRPL51,7.86E-05,8.40E-05,1.07
EDF1,6.70E-05,7.16E-05,1.07
RRP8,0.000224601,0.000240019,1.07
NAA35,3.11E-05,3.32E-05,1.07
RPS26,0.000331144,0.000353851,1.07
RNF149,2.72E-05,2.91E-05,1.07
RIOK3,6.50E-05,6.95E-05,1.07
NFKB2,0.000138985,0.000148476,1.07
ZC3H10,3.49E-05,3.73E-05,1.07
TYW1,2.92E-05,3.12E-05,1.07
DUSP2,6.92E-05,7.39E-05,1.07
SLC35B2,4.14E-05,4.43E-05,1.07
RPL4,0.000473844,0.000506031,1.07
NDFIP1,4.79E-05,5.12E-05,1.07
RPL24,0.000374701,0.00040004,1.07
NUDT5,5.83E-05,6.23E-05,1.07
SPTLC1,5.45E-05,5.82E-05,1.07
NOL6,0.000119297,0.000127339,1.07
MDN1,0.000106892,0.000114066,1.07
RPS16,0.000414761,0.00044259,1.07
AVEN,4.03E-05,4.30E-05,1.07
SLC7A1,0.000181807,0.00019397,1.07
PLCH1,2.75E-05,2.93E-05,1.07
N4BP1,3.62E-05,3.87E-05,1.07
MRPS18A,7.95E-05,8.47E-05,1.07
RPS8,0.000638797,0.000681255,1.07
ELP5,4.15E-05,4.42E-05,1.07
MRPL2,0.000118124,0.000125964,1.07
BTF3,0.000189801,0.000202388,1.07
PPP1R14B,1.99E-05,2.12E-05,1.07
POLR3H,6.27E-05,6.69E-05,1.07
SZRD1,5.00E-05,5.33E-05,1.07
ITM2C,1.67E-05,1.78E-05,1.07
