DB,DB_Object_ID,DB_Object_Symbol,Qualifier,GO_ID,DB:References,Evidence_code,With_or_from,Aspect_GO_DAG_Abbreviation,DB_Object_Name,DB_Object_Synonym,DB_Object_Type,Taxon,Date,Assigned_by,Annotation_extension,Gene_product_form_ID
MGI,MGI:87904,Actb,,GO:0032991,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20070314,MGI,,
MGI,MGI:87904,Actb,,GO:0032991,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20170710,MGI,,
MGI,MGI:87904,Actb,,GO:0035267,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20041101,MGI,,
MGI,MGI:87904,Actb,,GO:0036464,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20140623,MGI,,
MGI,MGI:87904,Actb,,GO:0042802,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20190407,MGI,,
MGI,MGI:87904,Actb,,GO:0043209,MGI:MGI:3834050|PMID:17634366,HDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20141110,UniProt,part_of(CL:0000128),
MGI,MGI:87904,Actb,,GO:0044305,MGI:MGI:6189485|PMID:27840001,IMP,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,,
MGI,MGI:87904,Actb,,GO:0044305,MGI:MGI:6189485|PMID:27840001,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,,
MGI,MGI:87904,Actb,,GO:0044305,MGI:MGI:6189485|PMID:27840001,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,,
MGI,MGI:87904,Actb,,GO:0045121,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20170318,MGI,,
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IMP,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,"occurs_in(GO:0044305),occurs_in(UBERON:0000061)",
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IDA,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,"occurs_in(GO:0098685),occurs_in(UBERON:0000061)",
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IDA,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,occurs_in(EMAPA:35405),
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IDA,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,"occurs_in(GO:0044305),occurs_in(UBERON:0000061)",
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IDA,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,"occurs_in(GO:0098685),occurs_in(UBERON:0000061)",
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IMP,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,occurs_in(EMAPA:35405),
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IDA,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,"occurs_in(GO:0044305),occurs_in(UBERON:0000061)",
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IDA,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,occurs_in(EMAPA:35405),
MGI,MGI:87904,Actb,,GO:0048488,MGI:MGI:6189485|PMID:27840001,IMP,,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,"occurs_in(GO:0098685),occurs_in(UBERON:0000061)",
MGI,MGI:87904,Actb,,GO:0048870,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180118,MGI,,
MGI,MGI:87904,Actb,,GO:0050998,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20080725,MGI,,
MGI,MGI:87904,Actb,,GO:0051621,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180526,MGI,,
MGI,MGI:87904,Actb,,GO:0051621,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180515,MGI,,
MGI,MGI:87904,Actb,,GO:0071257,GO_REF:0000096|MGI:MGI:4417868,ISO,RGD:628837,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20141016,MGI,,
MGI,MGI:87904,Actb,,GO:0072749,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180118,MGI,,
MGI,MGI:87904,Actb,,GO:0098685,MGI:MGI:6189485|PMID:27840001,IMP,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,,
MGI,MGI:87904,Actb,,GO:0098685,MGI:MGI:6189485|PMID:27840001,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,,
MGI,MGI:87904,Actb,,GO:0098685,MGI:MGI:6189485|PMID:27840001,IDA,,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,SynGO,,
MGI,MGI:87904,Actb,,GO:0098871,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,MGI,,
MGI,MGI:87904,Actb,,GO:0098973,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,F,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,MGI,,
MGI,MGI:87904,Actb,,GO:0098974,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20170125,MGI,,
MGI,MGI:87904,Actb,,GO:0098978,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180711,MGI,,
MGI,MGI:87904,Actb,,GO:1903076,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20180515,MGI,,
MGI,MGI:87904,Actb,,GO:1904030,MGI:MGI:3829808|PMID:19118186,IC,GO:0032091,P,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20171103,ARUK-UCL,has_regulation_target(UniProtKB:P49615),
MGI,MGI:87904,Actb,,GO:1990904,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P60709,C,"actin, beta",Actx|A-X actin-like protein|beta-actin|E430023M04Rik,protein,taxon:10090,20091002,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0001825,MGI:MGI:5913376|PMID:27869233,IMP,,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20180911,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0003682,MGI:MGI:1314932|PMID:9845365,IDA,,F,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20010917,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0005515,MGI:MGI:3775125|PMID:17640523,IPI,UniProtKB:Q9D8M7,F,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20100105,UniProt,,
MGI,MGI:1861453,Actl6a,,GO:0005634,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20110427,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0005634,MGI:MGI:2445888|PMID:12437990,IDA,,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20110407,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0005654,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20141106,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0005886,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20100607,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0006281,GO_REF:0000004|MGI:MGI:1354194,IEA,UniProtKB-KW:KW-0234,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20190428,UniProt,,
MGI,MGI:1861453,Actl6a,,GO:0006310,GO_REF:0000004|MGI:MGI:1354194,IEA,UniProtKB-KW:KW-0233,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20190428,UniProt,,
MGI,MGI:1861453,Actl6a,,GO:0006325,GO_REF:0000004|MGI:MGI:1354194,IEA,UniProtKB-KW:KW-0156,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20190428,UniProt,,
MGI,MGI:1861453,Actl6a,,GO:0006338,MGI:MGI:1314932|PMID:9845365,IDA,,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20010917,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0006338,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20110811,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0006974,GO_REF:0000004|MGI:MGI:1354194,IEA,UniProtKB-KW:KW-0227,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20190428,UniProt,,
MGI,MGI:1861453,Actl6a,,GO:0007399,MGI:MGI:3775125|PMID:17640523,IMP,,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20100105,UniProt,,
MGI,MGI:1861453,Actl6a,,GO:0016514,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20081009,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0031011,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20110427,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0035267,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20041101,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0040008,GO_REF:0000004|MGI:MGI:1354194,IEA,UniProtKB-KW:KW-0341,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20190428,UniProt,,
MGI,MGI:1861453,Actl6a,,GO:0043967,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20090529,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0043968,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,P,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20090529,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0071564,MGI:MGI:3775125|PMID:17640523,IDA,,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20100126,UniProt,,
MGI,MGI:1861453,Actl6a,,GO:0071564,MGI:MGI:5504306|PMID:23785148,IDA,,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20140708,MGI,,
MGI,MGI:1861453,Actl6a,,GO:0071564,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O96019,C,actin-like 6A,2810432C06Rik|Actl6|ARP4|Baf53a,protein,taxon:10090,20110811,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0005515,MGI:MGI:2445888|PMID:12437990,IPI,UniProtKB:Q6DIC0,F,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20131017,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0005515,MGI:MGI:4419090|PMID:12368262,IPI,UniProtKB:Q3TKT4|UniProtKB:Q6DIC0,F,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20150326,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0005634,MGI:MGI:4419090|PMID:12368262,ISO,UniProtKB:P86173,C,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20150326,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0005634,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O94805,C,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20021111,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0005730,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O94805,C,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20161204,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0006325,GO_REF:0000004|MGI:MGI:1354194,IEA,UniProtKB-KW:KW-0156,P,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20190428,UniProt,,
MGI,MGI:1933548,Actl6b,,GO:0006333,MGI:MGI:2445888|PMID:12437990,IC,GO:0016514,P,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20030326,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0006338,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O94805,P,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20110811,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0007399,MGI:MGI:3775136|PMID:17920018,IMP,,P,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20100105,UniProt,,
MGI,MGI:1933548,Actl6b,,GO:0007399,MGI:MGI:3775125|PMID:17640523,IMP,,P,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20100105,UniProt,,
MGI,MGI:1933548,Actl6b,,GO:0016514,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:O94805,C,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20110811,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0016514,MGI:MGI:2445888|PMID:12437990,IDA,,C,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20030326,MGI,,
MGI,MGI:1933548,Actl6b,,GO:0071565,MGI:MGI:3775125|PMID:17640523,IDA,,C,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20100126,UniProt,,
MGI,MGI:1933548,Actl6b,,GO:0071565,MGI:MGI:5504306|PMID:23785148,IDA,,C,actin-like 6B,Actl6|ArpNa|Baf53b,protein,taxon:10090,20140708,MGI,,
MGI,MGI:1100819,Aff1,,GO:0003700,MGI:MGI:2178202|PMID:11923441,TAS,,F,"AF4/FMR2 family, member 1",9630032B01Rik|Af4|Mllt2h|Rob,protein,taxon:10090,20030325,MGI,,
MGI,MGI:1100819,Aff1,,GO:0005634,MGI:MGI:1098961|PMID:9365243,IDA,,C,"AF4/FMR2 family, member 1",9630032B01Rik|Af4|Mllt2h|Rob,protein,taxon:10090,20070726,MGI,,
MGI,MGI:1100819,Aff1,,GO:0006351,MGI:MGI:2178202|PMID:11923441,TAS,,P,"AF4/FMR2 family, member 1",9630032B01Rik|Af4|Mllt2h|Rob,protein,taxon:10090,20030325,MGI,,
MGI,MGI:1100819,Aff1,,GO:0008023,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:P51825,C,"AF4/FMR2 family, member 1",9630032B01Rik|Af4|Mllt2h|Rob,protein,taxon:10090,20140716,MGI,,
MGI,MGI:1100819,Aff1,,GO:0045893,MGI:MGI:1098961|PMID:9365243,IDA,,P,"AF4/FMR2 family, member 1",9630032B01Rik|Af4|Mllt2h|Rob,protein,taxon:10090,20070726,MGI,,
MGI,MGI:2136171,Aff4,,GO:0001650,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:Q9UHB7,C,"AF4/FMR2 family, member 4",Alf4|Laf4l,protein,taxon:10090,20161204,MGI,,
MGI,MGI:2136171,Aff4,,GO:0005515,MGI:MGI:5448843|PMID:23273992,IPI,UniProtKB:Q80VR2,F,"AF4/FMR2 family, member 4",Alf4|Laf4l,protein,taxon:10090,20130118,UniProt,,
MGI,MGI:2136171,Aff4,,GO:0005634,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:Q9UHB7,C,"AF4/FMR2 family, member 4",Alf4|Laf4l,protein,taxon:10090,20161204,MGI,,
MGI,MGI:2136171,Aff4,,GO:0005634,MGI:MGI:3586405|PMID:16024815,IDA,,C,"AF4/FMR2 family, member 4",Alf4|Laf4l,protein,taxon:10090,20060202,MGI,"part_of(CL:0000216),part_of(EMAPA:31476)",
MGI,MGI:2136171,Aff4,,GO:0007286,MGI:MGI:3586405|PMID:16024815,IMP,MGI:MGI:3586991,P,"AF4/FMR2 family, member 4",Alf4|Laf4l,protein,taxon:10090,20060202,MGI,"occurs_in(CL:0000019),occurs_in(EMAPA:31476)",
MGI,MGI:2136171,Aff4,,GO:0008023,GO_REF:0000096|MGI:MGI:4834177,ISO,UniProtKB:Q9UHB7,C,"AF4/FMR2 family, member 4",Alf4|Laf4l,protein,taxon:10090,20140716,MGI,,
MGI,MGI:2136171,Aff4,,GO:0035327,MGI:MGI:5582153|PMID:22195968,IDA,,C,"AF4/FMR2 family, member 4",Alf4|Laf4l,protein,taxon:10090,20140716,UniProt,,
