gene_name,x,y
PRDM1,-0.88084036,6.572871
CBX2,2.5695455,8.180136
BPTF,2.5933669,1.1245998
RBBP7,3.193927,2.2954116
CARM1,-0.115111575,1.8308125
WHSC1,-0.8099004,5.586914
PRDM11,-1.1649699,4.8452406
MBD4,-0.28324327,5.422088
CHD8,0.060596064,5.3606086
MLL3,-0.11649191,6.903665
PHF20L1,-0.5267597,6.5492134
CBX7,0.64708084,6.347924
CBX3,2.3145788,5.143396
CHAF1A,2.9591062,3.8180482
MBD3,2.9428072,1.8663386
AFF4,1.1303482,2.4653406
HLTF,1.6894479,4.2960587
PRDM13,-0.8001627,4.8467674
SUV420H2,1.8398284,6.5288625
SMARCD3,5.372009,5.3811893
HIRA,2.740007,2.6917512
CBX8,2.4836342,7.7108316
UBE2A,-0.038356513,5.0476046
KDM6A,-0.4291985,7.9271774
SMYD2,2.8280785,6.444192
TRIM28,1.1183342,4.698568
KAT2B,-1.9957925,7.217154
SMARCE1,5.213567,5.1036086
MTF2,3.6548362,1.0222977
MECP2,1.8609749,5.077424
SMYD1,0.6309595,5.2160273
KDM3A,0.5290682,4.219495
KAT2A,-1.6530046,7.6581864
CBX1,3.113995,4.726367
KAT6B,-0.46610087,1.1808858
PAXIP1,-0.13463378,8.165642
ASH2L,0.17792866,7.64981
NSD1,2.130234,6.058151
SMYD4,0.07589171,5.6242414
PSIP1,1.9141601,3.9332652
MECOM,-0.7027899,5.659637
MBD1,2.1081843,2.3937485
NCOR1,-1.0239527,6.583801
AFF1,1.5135579,3.0483458
BMI1,3.0813875,7.6523404
GTF2F1,-1.3097079,4.1618876
CHD2,2.011019,6.628762
RBBP5,-0.020700712,8.167073
SMARCD1,5.1641097,4.8083897
SIRT2,-0.5097614,5.032071
MBD2,2.7379417,1.1966275
BRD2,0.67357814,1.7662196
BRCA1,0.25218403,6.1822457
SUPT16H,2.139471,4.050768
SUV39H1,2.6341882,4.1030364
EHMT1,3.2377498,4.005138
TRIM33,1.5120566,4.46323
PRMT8,0.092483066,5.961375
RBBP4,3.2216997,1.7678695
JMJD4,0.54033786,5.9609895
KAT6A,-0.60239315,1.2865882
DMAP1,4.1113677,3.092972
BAZ1B,1.3554994,2.717032
BAZ2A,1.5743369,2.1112258
PRDM2,1.9496365,5.014978
ING4,-0.9445207,1.3495903
USP22,-1.9123814,7.1509185
SMARCC1,5.3285904,4.555792
BRPF1,-0.38425583,1.1270959
PRMT2,-1.5410244,4.437965
CBX5,2.9257698,4.2193975
PCGF5,3.0923927,7.2873535
SUV420H1,1.4253637,4.119053
JMJD6,1.3168116,3.1445327
SMARCB1,5.4180646,4.5227666
MTA1,2.6784756,1.8081821
ACTL6A,4.9437265,4.09342
SUZ12,3.8990977,1.2446215
PCGF2,2.8589933,7.6086345
SATB1,0.073515154,4.6666756
