namespace,name,def
biological_process,positive regulation of telomere maintenance via telomerase,"""Any process that activates or increases the frequency, rate or extent of the addition of telomeric repeats by telomerase."" [GOC:mah]"
biological_process,DNA methylation involved in embryo development,"""The covalent transfer of a methyl group to C-5 of cytosine that contributes to the epigenetic regulation of embryonic gene expression."" [GOC:go_curators, PMID:12138111]"
cellular_component,apical dendrite,"""A dendrite that emerges near the apical pole of a neuron. In bipolar neurons, apical dendrites are located on the opposite side of the soma from the axon."" [NIF_Subcellular:sao273773228]"
biological_process,"regulation of gene expression, epigenetic","""Any process that modulates the frequency, rate or extent of gene expression; the process is mitotically or meiotically heritable, or is stably self-propagated in the cytoplasm of a resting cell, and does not entail a change in DNA sequence."" [PMID:10521337, PMID:11498582]"
biological_process,negative regulation of chromatin binding,"""Any process that stops or reduces the frequency, rate or extent of chromatin binding. Chromatin binding is the selective interaction with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."" [GOC:bf, PMID:20404130]"
biological_process,dendritic cell dendrite assembly,"""Formation of dendrites, branched cellular projections (or cytoplasmic extension) that are extended from the surface of a dendritic immune cell, and which enable the cell to sample luminal pathogens and increase the surface area for antigen presentation to T cells."" [CL:0000451, GOC:BHF, PMID:12200351]"
biological_process,chromosome organization involved in meiotic cell cycle,"""A process of chromosome organization that is involved in a meiotic cell cycle."" [GOC:mah]"
cellular_component,subsarcolemmal mitochondrion,"""A mitochondrion that occurs adjacent to the sarcolemma in striated muscle cells and responds in distinct ways to physiological triggers."" [PMID:23297307, PMID:26039174]"
molecular_function,RING-like zinc finger domain binding,"""Interacting selectively and non-covalently with a RING-like zinc finger domain domain of a protein. The RING-like domain is a zinc finger domain that is related to the C3HC4 RING finger domain."" [GOC:mah, InterPro:IPR014857]"
biological_process,embryonic hindlimb morphogenesis,"""The process, occurring in the embryo, by which the anatomical structures of the hindlimbs are generated and organized. The hindlimbs are the posterior limbs of an animal."" [ISBN:0198612001]"
biological_process,myeloid progenitor cell differentiation,"""The process in which a precursor cell type acquires the specialized features of a myeloid progenitor cell. Myeloid progenitor cells include progenitor cells for any of the myeloid lineages."" [GOC:add, PMID:16551264]"
biological_process,negative regulation of B cell apoptotic process,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of B cell apoptotic process."" [GOC:add, GOC:mtg_apoptosis]"
cellular_component,dendritic shaft,"""Cylindric portion of the dendrite, directly stemming from the perikaryon, and carrying the dendritic spines."" [GOC:nln]"
biological_process,adaptive immune response,"""An immune response mediated by cells expressing specific receptors for antigen produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, GOC:mtg_15nov05, ISBN:0781735149]"
biological_process,sprouting angiogenesis,"""The extension of new blood vessels from existing vessels into avascular tissues, this process includes the specialization of endothelial cells into leading tip and stalk cells, proliferation and migration of the endothelial cells and cell adhesion resulting in angiogenic sprout fusion or lumen formation."" [PMID:16391003, PMID:23031691]"
molecular_function,enzyme activator activity,"""Binds to and increases the activity of an enzyme."" [GOC:dph, GOC:mah, GOC:tb]"
biological_process,epithelial cell morphogenesis,"""The change in form that occurs when an epithelial cell progresses from its initial formation to its mature state."" [GOC:ascb_2009, GOC:dph, GOC:tb]"
biological_process,protein methylation,"""The addition of a methyl group to a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom."" [GOC:ai]"
biological_process,positive regulation of telomerase activity,"""Any process that activates or increases the frequency, rate or extent of telomerase activity, the catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1)."" [GOC:ai]"
molecular_function,chloride ion binding,"""Interacting selectively and non-covalently with chloride ions (Cl-)."" [GOC:mah]"
biological_process,internal peptidyl-lysine acetylation,"""The addition of an acetyl group to a non-terminal lysine residue in a protein."" [GOC:mah]"
biological_process,positive regulation of brown fat cell differentiation,"""Any process that increases the rate, frequency, or extent of brown fat cell differentiation. Brown fat cell differentiation is the process in which a relatively unspecialized cell acquires specialized features of a brown adipocyte, an animal connective tissue cell involved in adaptive thermogenesis. Brown adipocytes contain multiple small droplets of triglycerides and a high number of mitochondria."" [GOC:BHF]"
biological_process,positive regulation of flagellated sperm motility,"""Any process that activates or increases the frequency, rate or extent of flagellated sperm motility."" [GOC:cilia, GOC:jh2, GOC:krc, GOC:TermGenie, PMID:7513657]"
molecular_function,2-oxoglutarate-dependent dioxygenase activity,"""Catalysis of the reaction: A + 2-oxoglutarate + O2 = B + succinate + CO2. This is an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from 2-oxoglutarate and one other donor, and one atom of oxygen is incorporated into each donor."" [GOC:mah]"
biological_process,positive regulation by host of viral transcription,"""Any process in which a host organism activates or increases the frequency, rate or extent of viral transcription, the synthesis of either RNA on a template of DNA or DNA on a template of RNA."" [GOC:jl]"
molecular_function,SMAD binding,"""Interacting selectively and non-covalently with a SMAD signaling protein."" [GOC:ai]"
biological_process,regulation of transforming growth factor beta receptor signaling pathway,"""Any process that modulates the frequency, rate or extent of activity of any TGF-beta receptor signaling pathway."" [GOC:mah]"
biological_process,cellular response to hydrogen peroxide,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus."" [CHEBI:16240, GOC:mah]"
biological_process,regulation of DNA methylation,"""Any process that modulates the frequency, rate or extent of the covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine."" [GOC:jl]"
biological_process,male germ-line stem cell asymmetric division,"""The self-renewing division of a germline stem cell in the male gonad, to produce a daughter stem cell and a daughter germ cell, which will divide to form the male gametes."" [GOC:jid]"
biological_process,negative regulation of B cell proliferation,"""Any process that stops, prevents or reduces the rate or extent of B cell proliferation."" [GOC:mah]"
biological_process,positive regulation of neuron differentiation,"""Any process that activates or increases the frequency, rate or extent of neuron differentiation."" [GOC:go_curators]"
biological_process,regulation of sarcomere organization,"""Any process that modulates the rate, frequency or extent of myofibril assembly by organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."" [GOC:BHF, GOC:dph, GOC:tb]"
biological_process,aorta morphogenesis,"""The process in which the anatomical structures of an aorta are generated and organized. An aorta is an artery that carries blood from the heart to other parts of the body."" [GOC:bf, GOC:dgh, MA:0000062, UBERON:0000947, Wikipedia:Aorta]"
biological_process,regulation of ERK1 and ERK2 cascade,"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade."" [GOC:add, ISBN:0121245462, ISBN:0896039986]"
biological_process,negative regulation of telomeric RNA transcription from RNA pol II promoter,"""Any process that stops, prevents or reduces the frequency, rate or extent of telomeric RNA transcription from RNA pol II promoter."" [GOC:TermGenie]"
molecular_function,histone demethylase activity (H3-K9 specific),"""Catalysis of the reaction: histone H3 N6-methyl-L-lysine (position 9) + alpha-ketoglutarate + O2 = succinate + CO2 + formaldehyde + lysine. This reaction is the removal of a methyl group from lysine at position 9 of the histone H3 protein."" [PMID:16362057]"
molecular_function,estrogen response element binding,"""Interacting selectively and non-covalently with the estrogen response element (ERE), a conserved sequence found in the promoters of genes whose expression is regulated in response to estrogen."" [GOC:ecd, PMID:15036253, PMID:17975005]"
biological_process,response to ethanol,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethanol stimulus."" [GOC:go_curators]"
biological_process,epithelial to mesenchymal transition,"""A transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell."" [GOC:dph, PMID:14701881]"
biological_process,negative regulation of lymphocyte chemotaxis,"""Any process that stops, prevents or reduces the frequency, rate or extent of lymphocyte chemotaxis."" [GOC:TermGenie]"
biological_process,cellular response to starvation,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of deprivation of nourishment."" [GOC:jl]"
molecular_function,misfolded protein binding,"""Interacting selectively and non-covalently with a misfolded protein."" [GOC:ai]"
biological_process,positive regulation of protein import into nucleus,"""Any process that activates or increases the frequency, rate or extent of movement of proteins from the cytoplasm into the nucleus."" [GOC:jl]"
molecular_function,chromatin binding,"""Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."" [GOC:jl, ISBN:0198506732, PMID:20404130]"
molecular_function,type I transforming growth factor beta receptor binding,"""Interacting selectively and non-covalently with a type I transforming growth factor beta receptor."" [GOC:BHF, GOC:mah]"
biological_process,negative regulation of insulin receptor signaling pathway,"""Any process that stops, prevents, or reduces the frequency, rate or extent of insulin receptor signaling."" [GOC:bf]"
biological_process,positive regulation of cell growth,"""Any process that activates or increases the frequency, rate, extent or direction of cell growth."" [GOC:go_curators]"
molecular_function,RNA polymerase II activating transcription factor binding,"""Interacting selectively and non-covalently with an RNA polymerase II transcription activating factor, a protein involved in positive regulation of transcription."" [GOC:txnOH]"
cellular_component,sarcoplasmic reticulum membrane,"""The lipid bilayer surrounding the sarcoplasmic reticulum."" [GOC:rph]"
biological_process,B cell proliferation,"""The expansion of a B cell population by cell division. Follows B cell activation."" [GOC:jl]"
biological_process,energy homeostasis,"""Any process involved in the balance between food intake (energy input) and energy expenditure."" [GOC:yaf, PMID:15919751]"
biological_process,positive regulation of ATP biosynthetic process,"""Any process that activates or increases the frequency, rate or extent of ATP biosynthetic process."" [GOC:obol]"
biological_process,leptin-mediated signaling pathway,"""A series of molecular signals initiated by the binding of leptin to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription. Leptin is a hormone manufactured primarily in the adipocytes of white adipose tissue, and the level of circulating leptin is directly proportional to the total amount of fat in the body."" [GOC:mah, GOC:signaling, GOC:yaf]"
