Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
E04,Smyd4.4,751.9747133,784.3385245,40.47501237,53.68629391,85.9250066,127.2956149,664.6904387
E05,Suz12.3,505.711699,1127.651462,37.6,54.05714286,192.848943,168.6798619,655.6661691
E06,Suv420h1.3,449.4441488,940.5941342,42.48592464,55.197055,162.6127961,218.1747438,690.2420018
E07,Sp140.2,603.2926519,1055.237198,45.89643381,47.09330728,100.3546669,145.7030683,405.4348887
E08,Smyd5.3,541.1307454,858.0077416,36.69025585,50.7711849,82.25557309,130.1278253,503.7009993
E09,Taf1.3,844.2853684,413.2500126,37.68529076,46.09464082,97.9643963,98.15011479,388.5976411
E10,Suv420h2.3,726.9263176,1177.092104,31.4025974,55.4025974,165.4861198,169.0082246,734.7035319
E11,Ssrp1.3,2068.437811,1101.058008,40.69767442,50.3875969,81.8618371,153.3402333,559.2326768
F02,Sp100.3,615.0005925,1002.54547,47.48201439,55.19013361,193.3982455,212.8696355,693.6499105
F03,Tcea1.3,509.3086215,946.1572013,49.47175011,60.49609554,221.7492839,250.3680976,815.5358746
F04,Suv420h1.4,692.9121697,1082.143211,43.45056065,53.84811417,177.9665447,216.5231564,634.1629802
F05,Sp140.3,670.9531279,885.3813595,43.36935167,54.78880157,158.4535093,176.6088377,711.7350706
F06,Sp110.3,355.9093171,1004.139624,44.39759036,54.69879518,156.0034103,199.2600259,653.014604
F07,Suz12.4,1102.837313,1566.535084,42.99835255,54.20098847,124.6566505,197.7429121,875.3171774
F08,Suv39h1.3,462.927251,1001.604726,43.61823362,57.49287749,166.7602158,204.1675756,760.3041354
F09,Supt16h.3,915.5404402,782.1536442,53.68809273,52.31822972,108.8733885,162.3433282,693.8095714
F10,Sp110.4,1031.067026,764.4098747,56.66666667,56.66666667,342.9374742,259.7045572,803.5863989
F11,Taf1.4,2104.986247,330.4516594,37.09055877,52.40847784,78.18962901,136.2887782,611.9577593
G02,Suv420h2.4,618.0316991,956.1973349,41.56923077,52.83076923,151.6128,168.817277,639.5445507
G03,Supt16h.4,647.2524334,776.6950456,41.76732359,51.20788303,120.6660052,162.5009183,590.5390252
G04,Smyd5.4,587.6692468,954.274022,36.6355798,48.68907267,162.3264151,175.2487285,461.3415793
G05,Tcea1.4,566.1238714,506.7063752,42.73072061,50.06321113,134.6915968,157.7131817,534.0037332
G06,Taf3.4,434.9888231,388.3839572,35.06705921,47.13771672,124.576768,98.50164672,405.8228517
G07,Sp140.4,242.0611869,873.5624719,42.13747646,58.75706215,147.4053799,163.3809886,769.0515264
G08,Sp100.4,474.1870584,1030.99817,43.68244502,58.06932538,175.049675,165.8685557,860.9472279
G09,Suv39h2.4,704.2533806,895.396296,44.04889556,49.21724212,110.6644045,143.5200514,524.6580679
G10,Ssrp1.4,997.1405582,885.5945994,35.20408163,45.24704619,68.27134294,115.2616486,432.1621632
G11,Suv39h1.4,931.988402,845.2925785,40.39688164,46.11386723,115.5438851,127.620187,413.1653814
